"","siteCode","siteNumber","date","startTime","endTime","site","lat_start","lon_start","lat_end","lon_end","x_coord","y_coord","live_coral_total","dead_coral_total","turf_total","macroalgae_total","rock_total","invertebrate_total","number_total_points","proportion_live_coral","proportion_dead_coral","proportion_turf","proportion_macroalgae","proportion_rock","proportion_invertebrate","final_coralSpecies","depth","height","length","width","circumference","depth_to_benthos","L_onLive","L_onDead","D_liveOnLive","D_liveOnDead","D_deadOnLive","D_deadOnDead","tridacna","spirobranchus","total_L","total_live_D","total_D","percent_N_jan","percent_N_may","percent_N_aug","jan_d15","may_d15","aug_d15","NHW_speed","NLW_speed","ELW_speed","avg_speed","NHW_speed_offshore","NLW_speed_offshore","ELW_speed_offshore","avg_speed_offshore","distanceOutBay","not_alive_coral","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28"
"1","BOB",1,"04_may_2024","8:40","10:00","Back Opunohu Bay",-17.508962,-149.85232,-17.508531,-149.85247,2,-3,0,0,11,1,0,0,12,0,0,0.917,0.083,0,0,"Porites lobata",154,21,49,43,132,175,0,1,0,0,0,4,0,0,1,0,4,0.537,0.58,0.521,4.604,5.033,3.895,0.028991,0.001581,0.001746,0.014231,0.029071,0.003041,0.002263,0.01482,-1906,12,-3.28463296834044,1.11653005146801,-0.234383100410481,0.328392629460221,0.0306791162862913,-0.452752623665358,0.0898062323439489,0.194538426836489,0.792549997862006,-0.986660409704036,-0.55408289483127,-0.766320046537021,-0.695320047433255,-0.351708541609541,-0.270591476131135,-0.0781963668389596,-0.0969969302527826,-0.135215895268564,-0.112602086536788,0.000487626777001718,-0.000433431700095604,-6.54360657969632e-16,5.1069108216793e-16,1.01393305991522e-15,5.25675230605315e-17,4.90874205266333e-17,2.77432593951176e-16,-3.93767746339999e-17
"2","BOB",1,"04_may_2024","8:40","10:00","Back Opunohu Bay",-17.508962,-149.85232,-17.508531,-149.85247,5,-4,0,0,6,0,0,0,6,0,0,1,0,0,0,"Porites lobata",157,18,28,28,64,175,0,0,0,0,0,3,0,0,0,0,3,0.537,0.58,0.521,4.604,5.033,3.895,0.028991,0.001581,0.001746,0.014231,0.029071,0.003041,0.002263,0.01482,-1906,6,-3.92934855768937,-0.10882940105935,-0.0634989051788615,0.53001380374508,-0.162214228887538,-0.280962875841695,0.0491251394354752,0.223267105728243,0.414936566931533,-0.856536150777809,-0.478233061410318,-0.346296544252684,-0.799907926624434,0.274958915603798,-0.294726032708024,0.00845667280001371,-0.292596475180063,0.0679377081094653,-0.138274632837366,-0.000502071316497293,-0.000582122924106865,-5.68772864495933e-16,7.84420016501145e-16,1.15912322517773e-15,-4.03057607199833e-17,-2.22146777248884e-16,4.99365583127823e-16,1.6779930999069e-16
"3","BOB",1,"04_may_2024","8:40","10:00","Back Opunohu Bay",-17.508962,-149.85232,-17.508531,-149.85247,10,-5,0,0,27,0,0,0,27,0,0,1,0,0,0,"Porites lobata",151,29,54,46,135,180,0,0,0,1,0,8,0,0,0,1,9,0.537,0.58,0.521,4.604,5.033,3.895,0.028991,0.001581,0.001746,0.014231,0.029071,0.003041,0.002263,0.01482,-1906,27,-2.87163280626674,1.93575278879855,-0.0778921145756294,0.521258023973402,0.130058737140111,-0.823291487076456,-0.155855401378463,0.408788168255169,0.786673760522882,-1.56364977018553,-0.0587086338564116,-0.411324002367371,-0.533371352744749,-0.169840937247786,-0.401360863596805,-0.017461031971676,-0.143450620774894,0.010798935417768,-0.132953116002669,-0.01041555409276,0.000543447820488319,-8.1281899042262e-16,4.92502561109987e-16,9.28513402915231e-16,2.29239581280561e-16,5.52794895907465e-18,4.99756238247167e-16,3.30861433504399e-16
"4","BOB",1,"04_may_2024","8:40","10:00","Back Opunohu Bay",-17.508962,-149.85232,-17.508531,-149.85247,26,-8,0,0,16,0,0,0,16,0,0,1,0,0,0,"Porites lobata",131,17,52,49,141,148,0,0,0,0,0,4,0,0,0,0,4,0.537,0.58,0.521,4.604,5.033,3.895,0.028991,0.001581,0.001746,0.014231,0.029071,0.003041,0.002263,0.01482,-1906,16,-3.16507027602886,1.45383834968429,-0.159789995727002,0.224743712791077,-0.0469388034386643,-0.712677701095889,0.192395222917722,0.347749527806951,0.776435194294458,-1.22764155515685,-0.589205679081251,-1.03311533942075,-0.429000659121518,-0.353817206838264,-0.34323968329921,-0.00906436196636564,-0.240478704021815,-0.123421710901199,-0.118546064596829,-0.000570631958049066,-0.000707716980770018,-7.85434055260441e-16,5.50249730870818e-16,1.13918422133191e-15,7.74756114267028e-17,8.18804824269574e-17,4.9955160937513e-16,1.18565308849581e-16
"5","BOB",1,"04_may_2024","8:40","10:00","Back Opunohu Bay",-17.508962,-149.85232,-17.508531,-149.85247,32,-10,0,0,13,1,0,0,14,0,0,0.929,0.071,0,0,"Porites lobata",103,23,70,43,146,126,0,1,0,0,0,3,0,0,1,0,3,0.537,0.58,0.521,4.604,5.033,3.895,0.028991,0.001581,0.001746,0.014231,0.029071,0.003041,0.002263,0.01482,-1906,14,-3.06837037366653,1.66069832781623,-0.150600111167059,0.0491281825852599,-0.10042145164816,-0.599451648994386,0.241993700594343,0.349210178291648,0.520007582134788,-1.10757764478433,-0.566512964113312,-1.25905071527956,-0.600285955018228,-0.633662124725664,-0.288853632999023,-0.0745751991876729,0.444736132671127,0.274935411901811,-0.138176483923023,-0.0106193671624397,-0.0013131698168847,-2.75808146764974e-16,-2.46411057932039e-17,1.07655864062356e-15,5.64621928324938e-16,5.09573161326858e-16,4.99514404125668e-16,-1.82450337817241e-16
"6","BOB",1,"04_may_2024","8:40","10:00","Back Opunohu Bay",-17.508962,-149.85232,-17.508531,-149.85247,33,-8,0,0,3,0,0,0,3,0,0,1,0,0,0,"Porites lobata",139,21,27,23,56,160,0,0,0,0,0,2,0,0,0,0,2,0.537,0.58,0.521,4.604,5.033,3.895,0.028991,0.001581,0.001746,0.014231,0.029071,0.003041,0.002263,0.01482,-1906,3,-4.04887047712934,-0.333836388405521,-0.00783840367077291,0.455990020620571,-0.256114901770761,-0.156535706632759,0.0777454766601902,0.246381441646809,0.157771657875503,-0.794381037836326,-0.427666810488666,-0.38277904964574,-0.917700647212551,0.292321958746484,-0.237469179991382,0.00147895444802879,-0.137610775915065,0.113725487992586,-0.15650317009228,-0.00175269023933008,-0.000403249565364694,-4.70467816527826e-16,6.99239878742721e-16,1.06518485411521e-15,7.97910510835329e-17,-1.91230422442869e-16,4.99309775253631e-16,4.93427473780045e-17
"7","BOB",1,"04_may_2024","8:40","10:00","Back Opunohu Bay",-17.508962,-149.85232,-17.508531,-149.85247,42,-9,0,0,3,2,0,0,5,0,0,0.6,0.4,0,0,"Porites lobata",117,28,34,31,83,145,0,0,0,0,0,0,0,0,0,0,0,0.537,0.58,0.521,4.604,5.033,3.895,0.028991,0.001581,0.001746,0.014231,0.029071,0.003041,0.002263,0.01482,-1906,5,-3.74344767733867,0.240661934238987,-0.0154398311022493,0.306668877923604,-0.25070935967186,-0.170176042718893,0.0879578110063705,0.22040746572455,0.0348748859252627,-0.714733619677938,-0.406546079617783,-0.607738349019474,-1.07165081030983,-0.0458425267418243,-0.121227566301675,-0.0148422776218584,-0.159772191466255,-0.0214793103401728,-0.148774933037887,-0.00116418591715159,-0.000467356496938687,-5.36004515173231e-16,6.07996900631649e-16,1.12781043482356e-15,2.58778548960392e-16,-1.74833891492707e-16,4.99346980503092e-16,-9.37308158052362e-17
"8","BOB",1,"04_may_2024","8:40","10:00","Back Opunohu Bay",-17.508962,-149.85232,-17.508531,-149.85247,48,-1,0,0,2,0,0,0,2,0,0,1,0,0,0,"Porites lobata",132,25,26,18,50,157,0,2,0,0,0,2,0,0,2,0,2,0.537,0.58,0.521,4.604,5.033,3.895,0.028991,0.001581,0.001746,0.014231,0.029071,0.003041,0.002263,0.01482,-1906,2,-4.10887727316021,-0.46798305073567,0.0345260997631036,0.456874040565092,-0.28772070679947,-0.0558461660190242,0.0396628726083963,0.258167895043741,-0.0126055836963607,-0.782447101634603,-0.311996057097421,-0.291900126880972,-1.03194316917868,0.341049724620818,-0.20287345442864,-0.0169064002063773,0.0190135919886275,0.13961248676189,-0.172420001682077,-0.003373826188487,8.74682578229646e-05,-3.26677164742608e-16,5.22816762873226e-16,1.03387206376104e-15,2.67853058301392e-16,-2.54939839149208e-16,4.992911726289e-16,-2.12187378417922e-16
"9","BOB",1,"04_may_2024","8:40","10:00","Back Opunohu Bay",-17.508962,-149.85232,-17.508531,-149.85247,50,-9,0,0,2,2,0,0,4,0,0,0.5,0.5,0,0,"Porites lobata",100,19,33,28,77,119,0,0,0,0,0,1,0,0,0,0,1,0.537,0.58,0.521,4.604,5.033,3.895,0.028991,0.001581,0.001746,0.014231,0.029071,0.003041,0.002263,0.01482,-1906,4,-3.91431312176325,0.0442919517148044,0.0718310526731563,0.254947065791678,-0.399515521498287,-0.319485941413229,0.24560853845367,0.285018856271667,-0.0642909899074222,-0.65632580678816,-0.620821335906177,-0.850513055348592,-0.853320128160409,0.136822141670644,-0.224484399872606,0.0243181889399114,-0.087748108080791,0.0249005575585143,-0.162384616955634,0.00151128220065003,-0.000526901190644635,-6.14258468313044e-16,6.53618389687185e-16,1.2075199469319e-15,1.13773648790705e-16,-2.38543308199046e-16,4.99328377878362e-16,-1.33216336676131e-16
"10","BOB",1,"04_may_2024","8:40","10:00","Back Opunohu Bay",-17.508962,-149.85232,-17.508531,-149.85247,50,-1,0,0,5,5,0,0,10,0,0,0.5,0.5,0,0,"Porites lobata",144,15,52,37,117,159,0,2,0,0,0,3,0,0,2,0,3,0.537,0.58,0.521,4.604,5.033,3.895,0.028991,0.001581,0.001746,0.014231,0.029071,0.003041,0.002263,0.01482,-1906,10,-3.44624490867292,0.913861516513798,-0.150635732119935,0.373505062079179,-0.104811147529276,-0.523293441734316,0.182767288909234,0.0704078457264404,0.565357870209164,-0.460304831688884,-0.87675483349987,-0.913662393905938,-0.766763616475714,-0.218627258430305,-0.32733569947263,-0.073494140302621,0.151210032891695,0.0803805084470959,-0.113138546679533,0.00197863934341311,-0.00112545099754041,-3.66779354399196e-16,3.79889455353971e-16,1.1733520841319e-15,9.56246301087037e-17,1.43713192038987e-16,2.77395388701714e-16,-3.40392421300822e-16
